rank,school,name,publication_count,field,field_source,ssrn_url_or_search_link,ssrn_match_type,ssrn_match_evidence,source_group,source_window,source_journals,byu_profile_url,utd_journal_breakdown,utd_year_breakdown,school_unit,notes
172,National University of Singapore (NUS),Oliver Zhen Li,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Oliver+Zhen+Li+%22National+University+of+Singapore+%28NUS%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=44&authorname=Li, Oliver Zhen",Journal of Accounting Research: 1; The Accounting Review: 1; Journal of Accounting and Economics: 1,2023: 1; 2021: 2,NUS Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
173,Shanghai Lixin University of Finance and Accounting,Oliver Zhen Li,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Oliver+Zhen+Li+%22Shanghai+Lixin+University+of+Finance+and+Accounting%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=44&authorname=Li, Oliver Zhen",Journal of Accounting Research: 1; The Accounting Review: 1; Journal of Accounting and Economics: 1,2023: 1; 2021: 2,,Publication_count counts distinct UTD article records for this author-school affiliation.
174,London School of Economics and Political Science (LSE),Oscar Timmermans,3,Financial; Managerial; Archival,BYU interest areas,https://search.brave.com/search?q=Oscar+Timmermans+%22London+School+of+Economics+and+Political+Science+%28LSE%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8048&authorname=Timmermans, Oscar",Journal of Accounting Research: 2; The Accounting Review: 1,2024: 2; 2022: 1,,Publication_count counts distinct UTD article records for this author-school affiliation.
175,Cornell University,P Eric Yeung,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=P+Eric+Yeung+%22Cornell+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=658&authorname=Yeung, P. Eric",Journal of Accounting and Economics: 1; Journal of Accounting Research: 1; The Accounting Review: 1,2025: 1; 2024: 2,"SC Johnson College of Business, Johnson Graduate School of Management (Incl. Dyson and Nolan)",Publication_count counts distinct UTD article records for this author-school affiliation.
176,University of Southern California,Patricia M Dechow,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Patricia+M+Dechow+%22University+of+Southern+California%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=314&authorname=Dechow, Patricia M.",The Accounting Review: 2; Journal of Accounting Research: 1,2023: 1; 2021: 2,Marshall School of Business (incl. Leventhal),Publication_count counts distinct UTD article records for this author-school affiliation.
177,University of Notre Dame,Peter D Easton,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Peter+D+Easton+%22University+of+Notre+Dame%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2135&authorname=Easton, Peter D.",The Accounting Review: 3,2025: 1; 2024: 1; 2022: 1,Mendoza College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
178,Singapore Management University,Qiang Cheng,3,Financial; Tax; Archival,BYU interest areas,https://search.brave.com/search?q=Qiang+Cheng+%22Singapore+Management+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=297&authorname=Cheng, Qiang",Journal of Accounting and Economics: 3,2025: 2; 2022: 1,Lee Kong Chian School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
179,Fudan University,Qinlin Zhong,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Qinlin+Zhong+%22Fudan+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8687&authorname=Zhong, Qinlin",Journal of Accounting and Economics: 2; The Accounting Review: 1,2024: 1; 2022: 2,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
180,Duke University,Rahul Vashishtha,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Rahul+Vashishtha+%22Duke+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5435&authorname=Vashishtha, Rahul",Journal of Accounting Research: 1; The Accounting Review: 1; Journal of Accounting and Economics: 1,2025: 2; 2022: 1,The Fuqua School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
181,Bentley University,Rani Hoitash,3,AIS; Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Rani+Hoitash+%22Bentley+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=115&authorname=Hoitash, Rani",The Accounting Review: 3,2025: 1; 2023: 2,McCallum School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
182,Yale University,Raphael Duguay,3,Audit; Financial; Other Accounting Topics; Archival,BYU interest areas,https://search.brave.com/search?q=Raphael+Duguay+%22Yale+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9625&authorname=Duguay, Raphael",Journal of Accounting Research: 2; The Accounting Review: 1,2024: 1; 2023: 1; 2022: 1,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
183,Singapore Management University,Rencheng Wang,3,Audit; Financial; Managerial; Other Accounting Topics; Archival,BYU interest areas,https://search.brave.com/search?q=Rencheng+Wang+%22Singapore+Management+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5456&authorname=Wang, Rencheng",Journal of Accounting Research: 1; The Accounting Review: 1; Journal of Accounting and Economics: 1,2023: 1; 2022: 2,Lee Kong Chian School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
184,University of Alabama at Tuscaloosa,Richard C Hatfield,3,Audit; Financial; Tax; Experimental,BYU interest areas,https://search.brave.com/search?q=Richard+C+Hatfield+%22University+of+Alabama+at+Tuscaloosa%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=10&authorname=Hatfield, Richard C.",The Accounting Review: 3,2025: 1; 2022: 2,Culverhouse College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
185,Pennsylvania State University at State College (Penn State),Richard D Mergenthaler,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Richard+D+Mergenthaler+%22Pennsylvania+State+University+at+State+College+%28Penn+State%29%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1784&authorname=Mergenthaler, Richard D.",Journal of Accounting and Economics: 1; The Accounting Review: 1; Journal of Accounting Research: 1,2025: 2; 2022: 1,Smeal College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
186,University of North Carolina at Chapel Hill,Robert M Bushman,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Robert+M+Bushman+%22University+of+North+Carolina+at+Chapel+Hill%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1212&authorname=Bushman, Robert M.",Journal of Accounting and Economics: 2; The Accounting Review: 1,2024: 1; 2021: 2,Kenan-Flagler Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
187,University of Texas at Austin,Sara Toynbee,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Sara+Toynbee+%22University+of+Texas+at+Austin%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6448&authorname=Toynbee, Sara",Journal of Accounting and Economics: 2; The Accounting Review: 1,2024: 1; 2023: 1; 2022: 1,McCombs School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
188,San Diego State University,Shira Cohen,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Shira+Cohen+%22San+Diego+State+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=10032&authorname=Cohen, Shira",Journal of Accounting Research: 1; The Accounting Review: 1; Journal of Accounting and Economics: 1,2023: 3,College of Business Administration / Fowler College of Business Administration,Publication_count counts distinct UTD article records for this author-school affiliation.
189,KU Leuven / Katholieke Universiteit Leuven,Simon Dekeyser,3,Audit; Archival; Other Accounting Topics,BYU interest areas,https://search.brave.com/search?q=Simon+Dekeyser+%22KU+Leuven+%2F+Katholieke+Universiteit+Leuven%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8076&authorname=Dekeyser, Simon",Journal of Accounting and Economics: 1; The Accounting Review: 1; Journal of Accounting Research: 1,2024: 1; 2021: 2,Faculty of Economics and Business,Publication_count counts distinct UTD article records for this author-school affiliation.
190,Florida State University,Spencer Pierce,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Spencer+Pierce+%22Florida+State+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8029&authorname=Pierce, Spencer",The Accounting Review: 3,2023: 1; 2021: 2,College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
191,University of Texas at Dallas,Stanimir Markov,3,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Stanimir+Markov+%22University+of+Texas+at+Dallas%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=566&authorname=Markov, Stanimir",The Accounting Review: 2; Journal of Accounting and Economics: 1,2024: 1; 2023: 1; 2022: 1,Naveen Jindal School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
192,University of Texas at Austin,Steven J Kachelmeier,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Steven+J+Kachelmeier+%22University+of+Texas+at+Austin%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=2529&authorname=Kachelmeier, Steven J.",The Accounting Review: 3,2024: 1; 2022: 1; 2021: 1,McCombs School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
193,Northwestern University,Sugata Roychowdhury,3,Financial; Archival; Managerial,BYU interest areas,https://search.brave.com/search?q=Sugata+Roychowdhury+%22Northwestern+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=1072&authorname=Roychowdhury, Sugata",Journal of Accounting Research: 2; Journal of Accounting and Economics: 1,2025: 3,Kellogg School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
194,Boston College,Susan Shu,3,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Susan+Shu+%22Boston+College%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=266&authorname=Shu, Susan",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2023: 1; 2022: 1,Carroll School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
195,Emory University,Teri Lombardi Yohn,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Teri+Lombardi+Yohn+%22Emory+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=816&authorname=Yohn, Teri Lombardi",The Accounting Review: 3,2024: 1; 2021: 2,Goizueta Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
196,University of Georgia,Theodore E. Christensen,3,Financial; Archival; Managerial,BYU interest areas,https://search.brave.com/search?q=Theodore+E.+Christensen+%22University+of+Georgia%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=284&authorname=Christensen, Theodore E.",Journal of Accounting and Economics: 3,2025: 1; 2024: 1; 2023: 1,Terry College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
197,University of Nebraska at Lincoln,Thomas R Kubick,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Thomas+R+Kubick+%22University+of+Nebraska+at+Lincoln%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6279&authorname=Kubick, Thomas R.",The Accounting Review: 2; Journal of Accounting and Economics: 1,2025: 1; 2024: 1; 2023: 1,College of Business Administration,Publication_count counts distinct UTD article records for this author-school affiliation.
198,University of Kentucky,Tyler J Kleppe,3,Audit; Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Tyler+J+Kleppe+%22University+of+Kentucky%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9023&authorname=Kleppe, Tyler J.",The Accounting Review: 2; Journal of Accounting Research: 1,2024: 1; 2022: 2,Gatton College of Business and Economics,Publication_count counts distinct UTD article records for this author-school affiliation.
199,University of Chicago,Valeri V Nikolaev,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Valeri+V+Nikolaev+%22University+of+Chicago%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3378&authorname=Nikolaev, Valeri V.",Journal of Accounting and Economics: 2; The Accounting Review: 1,2022: 3,Booth School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
200,Columbia University,Wei Cai,3,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Wei+Cai+%22Columbia+University%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9882&authorname=Cai, Wei",Journal of Accounting Research: 2; The Accounting Review: 1,2025: 2; 2023: 1,Columbia Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
